Feature_ID,Coef,Coord
cg25881193,-15.99899499,Chr6_26491276
cg03535648,-15.95141109,Chr12_101116609
cg27367952,-15.82375956,Chr2_218929830
cg11600161,-15.57182248,Chr11_66928161
cg19345165,-15.25553584,Chr11_47557253
cg15881088,-15.21848681,Chr3_51397414
cg21296230,15.06457901,Chr15_30797828
cg14175438,-14.9517935,Chr7_120823965
cg13409216,-14.48609953,Chr10_70609993
cg04424621,-14.44777739,Chr6_27209920
cg01137065,14.37377079,Chr17_78070299
cg13656360,14.36406636,Chr11_117812992
cg05316065,-14.22870517,Chr8_130868189
cg13509147,14.22126208,Chr19_4104603
cg13449372,-14.12054745,Chr10_102738683
cg10654016,13.83949625,Chr12_64810678
cg18693704,-13.80959079,Chr16_65288814
cg13218906,-13.68132768,Chr20_62357195
cg25428451,-13.6572112,Chr1_87370132
cg00462994,13.58737822,Chr17_39437481
cg03340261,13.57369508,Chr6_135417593
cg00261781,13.39937728,Chr2_20075998
cg13514050,-13.34104874,Chr20_32924246
cg20066677,13.32700255,Chr12_131934493
cg18267374,13.32614877,Chr8_24827178
cg24407308,-12.95513488,Chr11_46311573
cg10636246,-12.95489,Chr1_157313597
cg15569512,-12.95093372,Chr14_103099420
cg07817698,12.90897644,Chr16_70600426
cg16854606,12.74522356,Chr19_12941743
cg12265604,12.6784476,Chr16_67697069
cg14689355,-12.59980654,Chr2_148318869
cg01651821,12.43450304,Chr2_99163790
cg14159818,-12.18111487,Chr20_3697519
cg20162159,-12.17957599,Chr3_49942069
cg00230271,-12.15471329,Chr4_107456632
cg19008809,12.12001927,Chr3_53055722
cg09809672,-12.09921682,Chr1_234624305
cg13994175,12.07884157,Chr3_47299528
cg03172991,-11.96946328,Chr19_12966728
cg00194146,-11.88629118,Chr6_13596383
cg10225525,11.81083061,Chr14_64946618
cg08487374,11.67344393,Chr7_99914498
cg01450842,-11.65425604,Chr2_48649717
cg18117393,11.53232389,Chr1_181027885
cg08067365,-11.51984975,Chr1_938756
cg17038116,-11.16561286,Chr1_153800029
cg26665419,-11.15430006,Chr6_107455983
cg20173259,11.11358119,Chr19_54212742
cg08899632,11.08380298,Chr20_50242407
cg04528819,11.07259285,Chr7_130068855
cg11177450,-10.94667271,Chr3_198078873
cg06908778,10.86511161,Chr10_22674608
cg25092328,10.80113727,Chr20_31771780
cg10922280,10.79008118,Chr16_66591728
cg04836038,10.65458827,Chr13_98537383
cg02229946,10.5122237,Chr2_113386383
cg12269343,10.4580988,Chr14_81070186
cg05294243,10.43369407,Chr19_56260918
cg01211097,-10.27522152,Chr16_83290470
cg08529529,-10.22704896,Chr13_30207799
cg10158181,-10.1880066,Chr4_2935639
cg26357744,-10.00204065,Chr3_50349308
cg27655905,9.950424372,Chr11_67795364
cg06189653,-9.928634297,Chr5_176805938
cg17641104,-9.926053105,Chr12_95318378
cg22495124,9.772363822,Chr17_62303990
cg17129388,9.679594816,Chr17_44926985
cg19556572,9.567877534,Chr9_116196522
cg25136687,-9.522144355,Chr6_111911879
cg15344028,-9.504209291,Chr2_204509755
cg05270634,9.458683059,Chr17_38430971
cg26866325,9.372871086,Chr4_75139423
cg25256723,-9.36844987,Chr1_167822568
cg03112869,9.309963576,Chr3_48388773
cg07929310,-9.267771972,Chr16_83618562
cg16085042,-9.058118831,Chr12_102848087
cg05759269,-9.047212407,Chr6_36754231
cg14754581,8.9044998,Chr3_46423757
cg01221637,-8.838557811,Chr20_30535605
cg12261786,-8.80006302,Chr10_88717810
cg17133388,-8.786659598,Chr3_123585417
cg13120519,-8.761639169,Chr19_6323660
cg01441777,-8.741688217,Chr22_37044362
cg11233384,-8.702162118,Chr1_19488289
cg22971191,8.613889336,Chr13_102517707
cg00845900,-8.58936172,Chr7_129718965
cg04007936,-8.441092863,Chr16_8861518
cg26212924,-8.269454924,Chr8_145222427
cg13042288,-8.160794723,Chr15_88150983
cg14473016,-8.146118724,Chr22_34267441
cg02976574,8.057451538,Chr3_173312987
cg05851163,-8.056495421,Chr18_63334546
cg17526300,8.038276564,Chr10_16518925
cg16173067,8.01275733,Chr20_1257722
cg15811427,-8.009320965,Chr19_56946034
cg14916213,7.981658933,Chr11_66162394
cg04014889,-7.924579894,Chr15_21441686
cg22947000,-7.872570922,Chr16_79829782
cg25769980,-7.808838536,Chr4_38507297
cg02228185,-7.785341156,Chr17_3326317
cg03565081,7.763007186,Chr14_22548810
cg15966757,-7.746394111,Chr12_242520
cg09480837,-7.741831686,Chr10_95779491
cg13564075,-7.65214571,Chr17_24302936
cg03991512,-7.60434303,Chr16_73707957
cg20761322,7.473261917,Chr15_76210619
cg23376526,-7.470945638,Chr1_152014742
cg02631957,-7.435453213,Chr5_122875865
cg16933388,7.416346316,Chr3_49567533
cg21099326,-7.319261619,Chr8_27224508
cg26096837,7.269147318,Chr11_69229155
cg26394737,7.25927706,Chr14_22136921
cg01519742,7.247589771,Chr4_6252992
cg02016419,7.246984432,Chr17_15185962
cg07654934,-7.183441358,Chr3_159873023
cg24125648,7.120190402,Chr15_41879898
cg14747225,7.024834167,Chr16_43024
cg18003795,-6.99391822,Chr22_16070463
cg05087948,-6.991225132,Chr11_66092773
cg02151301,-6.962548699,Chr20_29565446
cg05532892,6.729463914,Chr11_14623012
cg08035942,-6.589880588,Chr18_71050325
cg07484827,6.581498688,Chr11_3649733
cg17749443,6.468578944,Chr9_114859011
cg11631518,6.461478745,Chr12_73889852
cg22396353,6.4288385,Chr22_45071351
cg14223995,-6.409663736,Chr4_141709249
cg22582569,6.352315,Chr11_111141635
cg08169325,-6.322778588,Chr12_129890076
cg22512531,6.279600362,Chr11_122214761
cg21207418,6.268763011,Chr19_11549711
cg02154074,6.199036211,Chr2_74609742
cg17940013,-6.195165774,Chr1_9111275
cg16648841,6.097618377,Chr1_57093273
cg03724882,6.080591714,Chr14_53933994
cg16313343,6.023874287,Chr14_104839154
cg21137706,-5.983252062,Chr12_62459571
cg10523019,5.941622921,Chr2_227408702
cg25459323,-5.900533275,Chr22_40702305
cg20967028,5.85130181,Chr12_14887539
cg23124451,-5.804862482,Chr22_37878077
cg07494518,-5.794138096,Chr21_43672036
cg26104204,-5.768101285,Chr19_45389265
cg12238343,5.749756441,Chr5_33972159
cg06327515,5.716566436,Chr5_140583445
cg22991148,-5.681543236,Chr21_44955527
cg10052840,-5.67467637,Chr19_4509119
cg06134964,5.64268843,Chr3_52787073
cg01626227,-5.640661125,Chr7_99355225
cg02309431,-5.609942057,Chr20_31082592
cg22511262,5.567558371,Chr11_32411768
cg11903057,5.525340985,Chr4_39875171
cg04718414,-5.452605586,Chr13_114018313
cg26201213,5.446299477,Chr10_131155786
cg24674703,5.41797411,Chr11_60626536
cg25229964,5.410729068,Chr1_26376210
cg10878896,5.340752668,Chr12_54980716
cg04416752,-5.338257391,Chr9_129718848
cg21120249,-5.286945909,Chr9_139041792
cg19586576,5.285877086,Chr17_40262371
cg15551881,5.216122264,Chr9_122728536
cg11833861,-5.210109944,Chr17_28279748
cg13700897,-5.203206279,Chr8_109165240
cg05473871,-5.15604937,Chr19_1464513
cg11487705,-5.062657046,Chr5_41906503
cg16354207,-4.990591369,Chr2_238539647
cg24921089,-4.986411499,Chr11_10429416
cg04169469,4.926923884,Chr2_10505885
cg20090497,4.874022045,Chr12_10853704
cg20550118,-4.852301857,Chr15_76420717
cg04601137,-4.847499211,Chr19_1463314
cg17536848,-4.833656874,Chr7_156379316
cg22282672,4.813692319,Chr5_121493122
cg14423778,-4.795612884,Chr3_153468123
cg07236943,4.684481441,Chr7_94122422
cg03387497,4.630001389,Chr20_17628945
cg05125838,-4.602562372,Chr3_48576589
cg02735486,4.59476785,Chr4_114190384
cg26824091,4.586931755,Chr6_38778415
cg18691434,4.543967955,Chr7_99613361
cg05228408,-4.49429672,Chr1_11787939
cg19615059,4.492646466,Chr12_108755302
cg13296371,4.457073326,Chr4_4301647
cg16718891,-4.410288204,Chr12_53099422
cg27514224,-4.390952425,Chr9_130748439
cg00410898,-4.303054603,Chr8_23768300
cg16543027,-4.284958486,Chr15_38386972
cg14350002,-4.233812041,Chr9_88752293
cg22407458,4.232471361,Chr6_35217099
cg04480914,-4.215631426,Chr11_64448774
cg11459714,-4.21297823,Chr19_56212470
cg24493940,-4.202135081,Chr12_130879631
cg03819692,4.145197074,Chr16_87753140
cg08668790,4.112113212,Chr19_62912474
cg07180649,-4.105965549,Chr1_22342877
cg00515905,-4.103268356,Chr1_110108030
cg22473095,4.044042377,Chr20_18425967
cg17324128,-4.043943288,Chr10_44775506
cg00113951,4.02670329,Chr12_119562473
cg16408970,4.024035102,Chr10_29005590
cg00412805,4.016808807,Chr3_42701974
cg01400401,4.009589827,Chr19_4720531
cg26581729,-3.998837847,Chr9_139059613
cg12473775,-3.994735863,Chr11_66581226
cg26109803,-3.984563973,Chr10_102212788
cg05442902,-3.966098185,Chr22_19699010
cg13351161,-3.960753228,Chr8_27546840
cg21200703,3.959178135,Chr4_25266726
cg23191950,3.958521328,Chr15_99236597
cg05089968,-3.91160807,Chr6_166642763
cg02071305,-3.886409522,Chr15_38973265
cg26746469,3.866139002,Chr20_36096704
cg17770886,3.827665372,Chr10_134971321
cg04755031,3.817194129,Chr22_42619174
cg01623187,-3.806275602,Chr20_41789553
cg09322949,3.784159584,Chr6_41998021
cg19514469,3.775144564,Chr16_65790933
cg00687674,3.757669266,Chr15_67160314
cg08475827,3.702746231,Chr2_151974476
cg14918082,3.608249401,Chr17_7773962
cg23818978,3.603684682,Chr11_117588449
cg13975369,3.583069518,Chr7_129867789
cg16295988,3.558270741,Chr9_114520446
cg13323474,3.552242836,Chr10_74788529
cg09304040,3.548407354,Chr12_54646874
cg22580353,3.485338581,Chr19_49838740
cg15903282,-3.473480174,Chr3_135996380
cg13718960,3.468680041,Chr14_20341153
cg00955230,3.41792265,Chr7_73307141
cg06144905,3.413484589,Chr17_24393906
cg09413557,-3.403045935,Chr1_151775337
cg15856055,3.375380941,Chr10_134971285
cg19685066,3.331314764,Chr1_17954590
cg03258472,-3.301812331,Chr19_6414949
cg16743289,3.265740439,Chr1_173234767
cg26932976,-3.259148427,Chr17_2561936
cg19883905,-3.218932622,Chr18_12244024
cg16713727,3.187970744,Chr1_15935307
cg21835643,3.158955159,Chr20_43368775
cg23668631,-3.15460847,Chr17_3743685
cg21006686,3.152813941,Chr12_116284623
cg05441133,3.103760739,Chr10_48036897
cg08587542,-3.06398296,Chr5_141284084
cg20572838,3.062671547,Chr17_45805744
cg21081971,-2.970173829,Chr13_37342765
cg20492933,2.947623086,Chr5_154300809
cg19731122,2.914336066,Chr17_1343145
cg09851465,2.879940739,Chr1_60312259
cg24505341,2.841188478,Chr3_62836584
cg25536676,-2.837642113,Chr1_55125915
cg19663795,-2.827607692,Chr16_30301355
cg10917602,-2.815298757,Chr16_30904131
cg23234999,2.789697779,Chr15_21362298
cg06958034,2.788051118,Chr1_23218790
cg19439331,2.757897465,Chr10_69990476
cg14550518,-2.732393181,Chr3_21767942
cg13854874,2.705537905,Chr21_36679395
cg08586737,2.696221083,Chr7_127013185
cg13307384,2.583560626,Chr12_48304054
cg23152772,2.580749951,Chr9_132803453
cg19560210,2.560159507,Chr1_228579960
cg26711820,2.558421247,Chr12_79625820
cg08900043,2.536833226,Chr12_52665163
cg15013019,-2.533299173,Chr19_13074451
cg21907579,2.497611714,Chr12_113330251
cg13656062,2.484283954,Chr19_15869723
cg08694544,2.481527201,Chr19_12807228
cg06638451,2.479689072,Chr3_58538309
cg07211259,-2.423609122,Chr9_5500497
cg19297232,-2.403650899,Chr16_67040522
cg04087608,2.383062953,Chr1_119759492
cg20652640,-2.37602848,Chr16_87047557
cg19378133,2.374343432,Chr16_6008836
cg10570177,2.358758156,Chr9_135314407
cg01252496,2.348957061,Chr19_17187655
cg12177001,2.336851094,Chr14_93645901
cg20891917,2.296781942,Chr7_111851267
cg26022315,-2.270877875,Chr17_44376803
cg06994793,2.264576345,Chr5_139999095
cg15427448,2.261768982,Chr11_116692106
cg25713185,2.25600198,Chr2_228290730
cg25251635,2.248622897,Chr7_100141106
cg26898166,-2.24450608,Chr2_72997307
cg19028160,-2.242872325,Chr2_239986947
cg12145907,2.227238015,Chr5_140845018
cg07073964,-2.216579511,Chr19_649371
cg03007010,-2.202237705,Chr19_40958680
cg20828084,2.193830696,Chr15_78857906
cg21926612,-2.151586582,Chr6_163069159
cg13571802,-2.123161461,Chr3_44891477
cg21762589,2.116884479,Chr10_133646466
cg16612562,2.080897193,Chr22_28042045
cg00350702,2.072016695,Chr20_33593341
cg19686152,-2.066714676,Chr15_49908834
cg03703325,2.057604969,Chr3_50581868
cg26614073,-2.026512819,Chr3_47492823
cg18881501,-2.022128432,Chr17_21127969
cg15171237,-1.981506525,Chr4_185808952
cg08654655,1.973711223,Chr1_157407687
cg11490446,1.961425559,Chr14_72672676
cg03623878,1.943750756,Chr13_112703561
cg13258700,1.935417196,Chr7_156126758
cg00297600,1.908695219,Chr8_35521212
cg08074477,1.902730524,Chr17_35911475
cg06637774,1.89342443,Chr11_72653350
cg19632206,1.89091587,Chr1_188713379
cg16357381,-1.880522626,Chr3_48607896
cg19149785,-1.875110597,Chr19_56198085
cg00335286,1.855444605,Chr18_13906355
cg00412772,1.844120976,Chr19_43486685
cg20234170,1.829049562,Chr11_34416683
cg07038400,1.7787351,Chr3_137166853
cg21712685,-1.765357537,Chr6_35852583
cg15498283,1.743616315,Chr11_737520
cg23127998,1.686038152,Chr20_14266152
cg00582628,-1.678163605,Chr8_54927068
cg18001427,-1.649720496,Chr21_29313655
cg10669058,-1.649159645,Chr19_19509555
cg19573166,-1.645326874,Chr14_22892248
cg01946401,-1.552392375,Chr6_45404079
cg08872493,1.548231761,Chr1_23394004
cg22484793,1.547278123,Chr3_52236365
cg05440289,1.547194374,Chr1_151147743
cg12188560,-1.546553159,Chr9_34581192
cg02480835,1.531112896,Chr7_23187879
cg19356189,-1.528350646,Chr19_56216502
cg12402251,1.509543012,Chr8_91163987
cg22179082,-1.509071514,Chr13_26232259
cg15201877,1.467052004,Chr1_71285561
cg27626102,-1.465742937,Chr7_89678667
cg21649520,-1.462031413,Chr8_82522354
cg23213217,1.448091683,Chr1_222436778
cg00744433,-1.411402743,Chr21_17805938
cg24556026,1.410756917,Chr9_36248971
cg19724470,-1.399107852,Chr9_5440936
cg22809047,1.377506045,Chr2_100984693
cg11896923,-1.375881082,Chr17_35078553
cg00168942,-1.375221101,Chr10_35934436
cg16984944,-1.359979716,Chr3_101462115
cg02197293,1.326475211,Chr19_44214998
cg19566405,1.286269453,Chr17_30784078
cg10591174,-1.280172495,Chr12_109842829
cg23338195,1.264378979,Chr8_118215599
cg26350286,-1.261236982,Chr8_95721867
cg06295856,1.251326977,Chr11_14950218
cg01335367,1.211111994,Chr12_108656591
cg05898102,1.202033611,Chr5_140552143
cg18392482,-1.196389134,Chr12_94862142
cg26312920,-1.182810193,Chr7_31346915
cg12813792,1.182049823,Chr20_56159101
cg08424423,-1.156840533,Chr6_31196167
cg13510262,1.146725133,Chr12_52060304
cg21363706,1.140495095,Chr8_18110765
cg09254939,-1.115123986,Chr19_56212071
cg13899108,1.112549015,Chr19_18205322
cg21184495,-1.102666731,Chr17_27701203
cg17627559,1.069116234,Chr11_2280472
cg01261503,1.047474154,Chr17_59924061
cg26219051,1.046570867,Chr22_42069573
cg14009688,1.041709284,Chr7_134114782
cg21993406,1.01756345,Chr5_68520539
cg24110063,-1.01239731,Chr16_31347253
cg10900550,-0.993401947,Chr9_99213805
cg05422352,0.965636264,Chr2_232358991
cg18384097,-0.960409715,Chr1_200396189
cg01511567,-0.955659544,Chr11_56860207
cg15489301,-0.925473409,Chr7_133863578
cg26394940,-0.852196304,Chr22_44828125
cg18241647,0.833493573,Chr20_43186761
cg17966192,-0.814304713,Chr2_108360548
cg18732541,0.797614179,Chr19_7647602
cg20570279,-0.790590456,Chr11_116164339
cg23239039,0.774552515,Chr4_4440016
cg13654195,-0.764669972,Chr6_7335090
cg17431739,-0.762536285,Chr10_23424053
cg16816226,-0.761063169,Chr3_5203848
cg08251399,0.755043977,Chr2_31311112
cg09799873,-0.750651448,Chr19_8291500
cg15887846,-0.742899932,Chr11_65535768
cg22194129,0.727265735,Chr12_7792928
cg25898500,-0.725019577,Chr16_1817265
cg16372520,0.71058822,Chr14_77939504
cg09096950,0.684630536,Chr11_117735305
cg12864235,0.655304718,Chr5_27074539
cg18809289,0.653578992,Chr10_45189822
cg24651706,0.653433186,Chr2_113058343
cg21201109,0.648066076,Chr19_11168090
cg23568913,-0.644984918,Chr22_29317549
cg23159337,-0.632208093,Chr3_194755472
cg10795646,-0.630165,Chr1_150242190
cg24332433,0.617734017,Chr17_68600498
cg13861644,0.588384291,Chr12_129388239
cg06171242,0.573872643,Chr6_24775469
cg00338702,0.534125992,Chr12_131973767
cg04818845,0.530063706,Chr1_6502754
cg18468844,-0.514411149,Chr1_28376307
cg06975499,-0.508782249,Chr17_38150407
cg01128603,-0.499180939,Chr11_65576967
cg13119609,-0.497800027,Chr19_50141137
cg10667970,-0.494137066,Chr1_11646644
cg09404633,-0.481760063,Chr1_200182069
cg01918706,0.481129756,Chr1_200577464
cg11618577,0.45590634,Chr2_27519047
cg22983092,0.434401518,Chr17_36165064
cg18771300,-0.430534396,Chr14_62741490
cg10202457,-0.41970649,Chr1_181654374
cg19371795,0.402226134,Chr19_7246107
cg12991365,-0.399519083,Chr3_53855893
cg22090592,-0.38718029,Chr14_104245687
cg14972143,0.385312405,Chr4_100070026
cg01056568,-0.326099256,Chr17_9669983
cg24505122,0.307545432,Chr12_1596553
cg12324144,0.299599643,Chr3_171014357
cg05697249,-0.297182577,Chr11_111294903
cg01459453,-0.294798529,Chr1_167865836
cg16728114,0.275798966,Chr1_154964417
cg09196959,0.260322504,Chr6_30212419
cg04359302,0.255790471,Chr3_180806553
cg00862290,-0.233766711,Chr3_180467667
cg01114088,-0.226611181,Chr4_5072012
cg13613532,0.21020524,Chr11_107843607
cg12289045,0.205379773,Chr19_55833173
cg16466334,0.166685207,Chr11_102219568
cg09630437,0.165360604,Chr19_2691301
cg04333463,0.164994457,Chr8_62789241
cg05501584,-0.164581823,Chr15_90737310
cg09294589,-0.157799598,Chr3_33130137
cg16319578,0.155277938,Chr14_64077265
cg13460409,0.148824189,Chr21_37301440
cg18587364,-0.137734976,Chr19_9646779
cg14105047,0.137366272,Chr4_95591833
cg00079056,0.122818203,Chr9_33229641
cg20674577,-0.120528788,Chr20_57612935
cg22197830,-0.117965431,Chr5_134237683
cg09045681,0.11706097,Chr6_31235157
cg14467840,0.11617835,Chr1_151867596
cg13587552,-0.096960459,Chr1_1206304
cg25022327,-0.085880587,Chr11_128317672
cg04616566,0.068531735,Chr15_69807614
cg26842024,0.063834719,Chr19_16297122
cg17903544,0.058590013,Chr12_131796847
cg21053529,-0.052460218,Chr15_32834052
cg06363129,-0.047794699,Chr7_16472127
cg23173910,-0.047747114,Chr2_73973782
cg09434995,0.04407787,Chr7_75878323
cg13843773,0.043585555,Chr4_81475835
cg27440834,0.033980159,Chr3_126722531
cg15642326,0.032502686,Chr19_50445986
cg27244482,-0.031981428,Chr5_149649681
cg00083937,0.030577331,Chr22_49386671
cg22395019,0.027494572,Chr2_31215196
cg17923358,0.024808297,Chr7_103416854
cg17861230,0.023738294,Chr19_18204901
cg08212685,0.012944061,Chr5_81303827
cg12373771,0.01052681,Chr22_15981381
cg00503840,0.002679625,Chr7_96488445
cg15381313,0.002078841,Chr12_99391640
